,,"Estimated number of road traffic deaths","Estimated number of road traffic deaths","Estimated number of road traffic deaths","Estimated road traffic death rate (per 100 000 population)","Estimated road traffic death rate (per 100 000 population)","Estimated road traffic death rate (per 100 000 population)"
"Nigeria","2014","38703 [31184-46222]","26791 [21586-31996]","11912 [9598-14226]","21.9 [17.7-26.2]","30.0 [24.2-35.8]","13.7 [11.0-16.3]"
"Nigeria","2013","37831 [30466-45197]","26176 [21080-31272]","11655 [9386-13925]","22.0 [17.7-26.3]","30.1 [24.2-36.0]","13.7 [11.1-16.4]"
"Nigeria","2012","36948 [29699-44196]","25554 [20540-30566]","11394 [9159-13630]","22.1 [17.8-26.4]","30.2 [24.3-36.1]","13.8 [11.1-16.5]"
"Nigeria","2011","36572 [29408-43737]","25301 [20345-30258]","11271 [9063-13479]","22.5 [18.1-26.9]","30.7 [24.7-36.7]","14.0 [11.3-16.8]"
"Nigeria","2010","39757 [32017-47497]","27430 [22090-32770]","12327 [9927-14727]","25.1 [20.2-30.0]","34.2 [27.6-40.9]","15.7 [12.7-18.8]"
"Nigeria","2009","38996 [31319-46672]","26813 [21535-32091]","12183 [9784-14581]","25.3 [20.3-30.2]","34.4 [27.6-41.1]","16.0 [12.8-19.1]"
"Nigeria","2008","37759 [30225-45292]","25928 [20755-31101]","11831 [9470-14191]","25.1 [20.1-30.1]","34.1 [27.3-40.9]","15.9 [12.7-19.1]"
"Nigeria","2007","37853 [30195-45512]","25957 [20706-31209]","11896 [9489-14303]","25.9 [20.6-31.1]","35.1 [28.0-42.2]","16.4 [13.1-19.8]"
"Nigeria","2006","37662 [30005-45319]","25832 [20580-31084]","11830 [9425-14235]","26.4 [21.1-31.8]","35.9 [28.6-43.2]","16.8 [13.4-20.2]"
"Nigeria","2005","37445 [29823-45067]","25774 [20528-31021]","11671 [9295-14046]","27.0 [21.5-32.5]","36.8 [29.3-44.2]","17.0 [13.5-20.4]"
"Nigeria","2004","37400 [29709-45091]","25701 [20416-30986]","11699 [9293-14105]","27.6 [22.0-33.3]","37.6 [29.9-45.4]","17.5 [13.9-21.0]"
"Nigeria","2003","37774 [30010-45537]","26447 [21011-31883]","11327 [8998-13654]","28.6 [22.8-34.5]","39.7 [31.6-47.9]","17.3 [13.8-20.9]"
"Nigeria","2002","38361 [30462-46260]","26181 [20790-31572]","12180 [9672-14688]","29.8 [23.7-36.0]","40.4 [32.0-48.7]","19.1 [15.2-23.0]"
"Nigeria","2001","37094 [29439-44748]","25261 [20048-30474]","11833 [9391-14274]","29.6 [23.5-35.7]","39.9 [31.7-48.2]","19.0 [15.1-23.0]"
"Nigeria","2000","35748 [28417-43080]","24263 [19287-29240]","11485 [9130-13840]","29.2 [23.2-35.2]","39.4 [31.3-47.4]","18.9 [15.1-22.8]"
"North Macedonia","2019","107 [71-153]","83 [56-118]","24 [16-35]","5.1 [3.4-7.3]","8.0 [5.4-11.3]","2.3 [1.5-3.3]"
"North Macedonia","2018","108 [74-151]","84 [58-117]","24 [16-34]","5.2 [3.5-7.2]","8.1 [5.5-11.2]","2.3 [1.5-3.3]"
"North Macedonia","2017","126 [89-170]","98 [70-132]","28 [19-39]","6.1 [4.3-8.2]","9.4 [6.7-12.7]","2.7 [1.9-3.7]"
"North Macedonia","2016","134 [98-176]","105 [77-136]","29 [21-40]","6.4 [4.7-8.5]","10.1 [7.4-13.1]","2.8 [2.0-3.8]"
"North Macedonia","2015","153 [112-199]","120 [88-154]","33 [24-45]","7.4 [5.4-9.6]","11.5 [8.5-14.8]","3.2 [2.3-4.3]"
"North Macedonia","2014","134 [99-173]","105 [78-135]","29 [21-39]","6.4 [4.8-8.3]","10.1 [7.5-12.9]","2.8 [2.0-3.7]"
"North Macedonia","2013","204 [151-262]","152 [113-193]","52 [38-69]","9.8 [7.3-12.6]","14.6 [10.9-18.6]","5.0 [3.7-6.7]"
"North Macedonia","2012","136 [101-174]","107 [80-136]","29 [21-38]","6.6 [4.9-8.4]","10.4 [7.7-13.1]","2.7 [2.0-3.6]"
"North Macedonia","2011","177 [131-224]","149 [110-188]","28 [20-37]","8.5 [6.3-10.8]","14.4 [10.7-18.1]","2.7 [2.0-3.5]"
"North Macedonia","2010","167 [124-212]","129 [96-162]","38 [28-51]","8.1 [6.0-10.3]","12.4 [9.3-15.6]","3.7 [2.7-4.9]"
"North Macedonia","2009","165 [124-207]","129 [97-160]","36 [27-47]","8.0 [6.0-10.0]","12.5 [9.4-15.5]","3.5 [2.6-4.5]"
"North Macedonia","2008","167 [126-209]","134 [102-166]","33 [25-43]","8.1 [6.1-10.1]","13.0 [9.9-16.1]","3.2 [2.4-4.2]"
"North Macedonia","2007","178 [135-222]","145 [110-180]","33 [24-42]","8.6 [6.5-10.8]","14.1 [10.7-17.4]","3.2 [2.4-4.1]"
"North Macedonia","2006","144 [109-180]","118 [89-147]","26 [19-34]","7.0 [5.3-8.7]","11.5 [8.7-14.2]","2.5 [1.9-3.3]"
"North Macedonia","2005","147 [113-185]","113 [88-141]","34 [25-44]","7.1 [5.5-9.0]","11.0 [8.5-13.7]","3.3 [2.4-4.3]"
"North Macedonia","2004","160 [123-201]","127 [98-159]","33 [24-43]","7.8 [6.0-9.8]","12.4 [9.6-15.4]","3.2 [2.4-4.2]"
"North Macedonia","2003","131 [102-166]","109 [86-137]","22 [16-28]","6.4 [5.0-8.1]","10.7 [8.3-13.4]","2.1 [1.6-2.8]"
"North Macedonia","2002","181 [141-232]","146 [115-187]","35 [26-46]","8.8 [6.9-11.3]","14.2 [11.2-18.2]","3.4 [2.6-4.5]"
"North Macedonia","2001","110 [85-144]","93 [72-121]","17 [13-23]","5.4 [4.2-7.0]","9.0 [7.1-11.8]","1.7 [1.3-2.2]"
"North Macedonia","2000","167 [129-221]","133 [104-177]","34 [25-44]","8.2 [6.3-10.8]","13.1 [10.2-17.3]","3.3 [2.5-4.3]"
"Norway","2019","114 [103-129]","89 [80-97]","26 [23-32]","2.1 [1.9-2.4]","3.3 [3.0-3.6]","1.0 [0.9-1.2]"
"Norway","2018","114 [103-129]","89 [80-97]","26 [23-31]","2.1 [1.9-2.4]","3.3 [3.0-3.6]","1.0 [0.9-1.2]"
"Norway","2017","112 [102-123]","87 [79-95]","25 [23-28]","2.1 [1.9-2.3]","3.2 [3.0-3.6]","1.0 [0.9-1.1]"
"Norway","2016","143 [130-156]","118 [108-128]","25 [22-28]","2.7 [2.5-3.0]","4.5 [4.1-4.8]","1.0 [0.9-1.1]"
"Norway","2015","133 [122-145]","97 [89-105]","36 [32-39]","2.6 [2.3-2.8]","3.7 [3.4-4.0]","1.4 [1.3-1.5]"
"Norway","2014","155 [142-169]","119 [109-129]","36 [32-40]","3.0 [2.8-3.3]","4.6 [4.2-5.0]","1.4 [1.3-1.6]"
"Norway","2013","193 [177-209]","141 [130-152]","52 [47-57]","3.8 [3.5-4.1]","5.5 [5.1-6.0]","2.1 [1.8-2.2]"
"Norway","2012","151 [139-163]","113 [105-122]","38 [34-42]","3.0 [2.8-3.3]","4.5 [4.2-4.8]","1.5 [1.4-1.7]"
"Norway","2011","173 [158-187]","118 [108-127]","55 [50-60]","3.5 [3.2-3.8]","4.7 [4.4-5.1]","2.2 [2.0-2.4]"
"Norway","2010","214 [196-231]","160 [148-173]","54 [48-59]","4.4 [4.0-4.7]","6.6 [6.1-7.1]","2.2 [2.0-2.4]"
"Norway","2009","222 [204-240]","173 [159-186]","49 [44-53]","4.6 [4.2-5.0]","7.2 [6.6-7.7]","2.0 [1.8-2.2]"
"Norway","2008","263 [240-285]","202 [186-219]","61 [55-66]","5.5 [5.0-6.0]","8.5 [7.8-9.2]","2.5 [2.3-2.8]"
"Norway","2007","240 [221-259]","171 [158-184]","69 [63-75]","5.1 [4.7-5.5]","7.3 [6.7-7.8]","2.9 [2.7-3.2]"
"Norway","2006","250 [230-270]","177 [164-190]","73 [65-80]","5.3 [4.9-5.8]","7.6 [7.1-8.2]","3.1 [2.8-3.4]"
"Norway","2005","245 [226-263]","169 [156-181]","76 [70-83]","5.3 [4.9-5.7]","7.3 [6.8-7.9]","3.3 [3.0-3.5]"
"Norway","2004","289 [267-311]","208 [193-224]","81 [74-88]","6.3 [5.8-6.8]","9.1 [8.5-9.8]","3.5 [3.2-3.8]"
"Norway","2003","306 [282-330]","226 [210-243]","80 [72-87]","6.7 [6.2-7.2]","10.0 [9.3-10.7]","3.5 [3.1-3.8]"
"Norway","2002","336 [311-361]","257 [239-274]","79 [72-86]","7.4 [6.8-7.9]","11.4 [10.6-12.2]","3.5 [3.1-3.8]"
"Norway","2001","297 [274-319]","208 [193-222]","89 [81-96]","6.6 [6.1-7.0]","9.3 [8.6-9.9]","3.9 [3.6-4.2]"
"Norway","2000","362 [333-389]","264 [244-283]","98 [90-106]","8.0 [7.4-8.6]","11.9 [10.9-12.7]","4.3 [3.9-4.7]"
"Oman","2019","527 [465-590]","448 [395-501]","79 [70-89]","10.6 [9.4-11.9]","13.6 [12.0-15.3]","4.7 [4.2-5.3]"
"Oman","2018","657 [578-738]","557 [490-625]","100 [88-112]","13.6 [12.0-15.3]","17.5 [15.4-19.6]","6.1 [5.4-6.8]"
"Oman","2017","660 [579-743]","558 [489-627]","102 [90-115]","14.1 [12.4-15.9]","18.1 [15.9-20.4]","6.4 [5.6-7.2]"
"Oman","2016","713 [624-804]","600 [525-677]","113 [98-127]","15.9 [13.9-17.9]","20.4 [17.9-23.0]","7.3 [6.4-8.2]"
"Oman","2015","696 [607-786]","585 [511-661]","111 [96-125]","16.3 [14.2-18.4]","21.0 [18.3-23.8]","7.4 [6.5-8.4]"
"Oman","2014","841 [731-952]","708 [615-801]","133 [116-151]","20.9 [18.2-23.6]","27.2 [23.6-30.8]","9.4 [8.1-10.6]"
"Oman","2013","941 [815-1068]","793 [687-901]","148 [128-167]","25.0 [21.6-28.4]","33.1 [28.6-37.5]","10.8 [9.4-12.3]"
"Oman","2012","1174 [1016-1333]","991 [858-1125]","183 [158-208]","33.6 [29.0-38.1]","45.2 [39.1-51.3]","14.0 [12.1-15.9]"
"Oman","2011","1089 [935-1243]","921 [791-1052]","168 [144-191]","33.5 [28.8-38.2]","46.1 [39.6-52.6]","13.4 [11.5-15.3]"
"Oman","2010","845 [725-965]","712 [611-813]","133 [114-152]","27.8 [23.8-31.7]","38.8 [33.3-44.3]","11.0 [9.4-12.6]"
"Oman","2009","1020 [873-1167]","863 [739-988]","157 [134-179]","35.5 [30.4-40.6]","50.7 [43.4-58.0]","13.4 [11.4-15.3]"
"Oman","2008","980 [837-1124]","830 [709-952]","150 [128-172]","35.6 [30.4-40.9]","51.7 [44.2-59.3]","13.1 [11.2-15.0]"
"Oman","2007","823 [697-948]","688 [583-793]","135 [114-155]","31.0 [26.2-35.7]","44.9 [38.1-51.8]","12.0 [10.1-13.8]"
"Oman","2006","702 [591-813]","576 [485-667]","126 [106-146]","27.2 [22.9-31.5]","39.1 [33.0-45.3]","11.3 [9.5-13.1]"
"Oman","2005","710 [591-829]","580 [483-677]","130 [108-152]","28.3 [23.5-33.0]","40.8 [34.0-47.7]","11.9 [9.9-13.9]"
"Oman","2004","657 [544-770]","535 [443-627]","122 [101-143]","26.9 [22.2-31.5]","38.9 [32.2-45.6]","11.4 [9.4-13.4]"
"Oman","2003","596 [490-701]","483 [397-568]","113 [93-133]","25.0 [20.5-29.4]","36.3 [29.8-42.6]","10.7 [8.8-12.6]"
"Oman","2002","598 [489-707]","483 [395-571]","115 [94-136]","25.6 [20.9-30.3]","37.1 [30.3-43.9]","11.1 [9.1-13.2]"
"Oman","2001","514 [418-611]","414 [337-492]","100 [81-119]","22.4 [18.2-26.6]","32.3 [26.3-38.4]","9.8 [8.0-11.7]"
"Oman","2000","507 [411-604]","409 [331-487]","98 [80-117]","22.4 [18.1-26.6]","32.1 [26.0-38.2]","9.9 [8.0-11.8]"
"Pakistan","2019","28170 [23628-32523]","14930 [12523-17238]","13240 [11105-15286]","13.0 [10.9-15.0]","13.4 [11.2-15.5]","12.6 [10.6-14.5]"
"Pakistan","2018","27898 [23425-32225]","14791 [12420-17085]","13107 [11005-15139]","13.1 [11.0-15.2]","13.5 [11.4-15.6]","12.7 [10.7-14.7]"
"Pakistan","2017","27619 [23217-31917]","14638 [12305-16916]","12981 [10912-15001]","13.3 [11.2-15.4]","13.7 [11.5-15.8]","12.9 [10.8-14.9]"
"Pakistan","2016","27582 [23211-31876]","14622 [12305-16898]","12960 [10906-14978]","13.5 [11.4-15.7]","14.0 [11.7-16.1]","13.1 [11.0-15.2]"
"Pakistan","2015","26993 [22758-31228]","14323 [12076-16570]","12670 [10682-14658]","13.5 [11.4-15.7]","14.0 [11.8-16.1]","13.1 [11.0-15.1]"
"Pakistan","2014","26457 [22321-30594]","14039 [11845-16235]","12418 [10476-14359]","13.5 [11.4-15.7]","14.0 [11.8-16.1]","13.1 [11.1-15.2]"
"Pakistan","2013","26219 [22118-30320]","13859 [11692-16027]","12360 [10426-14293]","13.7 [11.6-15.9]","14.1 [11.9-16.3]","13.3 [11.2-15.4]"
"Pakistan","2012","25919 [21859-29979]","13716 [11568-15865]","12203 [10291-14114]","13.8 [11.7-16.0]","14.2 [12.0-16.5]","13.4 [11.3-15.5]"
"Pakistan","2011","27064 [23420-30708]","14324 [12395-16253]","12740 [11025-14455]","14.8 [12.8-16.7]","15.2 [13.1-17.2]","14.3 [12.4-16.3]"
"Pakistan","2010","26356 [22786-29927]","14001 [12105-15898]","12355 [10681-14029]","14.7 [12.7-16.7]","15.1 [13.1-17.2]","14.2 [12.3-16.1]"
"Pakistan","2009","25527 [21993-29062]","13488 [11621-15356]","12039 [10372-13706]","14.5 [12.5-16.6]","14.9 [12.8-17.0]","14.1 [12.2-16.1]"
"Pakistan","2008","24430 [20993-27868]","12885 [11073-14699]","11545 [9920-13169]","14.2 [12.2-16.2]","14.6 [12.5-16.6]","13.9 [11.9-15.8]"
"Pakistan","2007","23592 [20221-26963]","12477 [10694-14259]","11115 [9527-12704]","14.1 [12.1-16.1]","14.4 [12.4-16.5]","13.7 [11.7-15.6]"
"Pakistan","2006","23052 [19673-26430]","12130 [10352-13907]","10922 [9321-12523]","14.1 [12.0-16.1]","14.3 [12.2-16.4]","13.7 [11.7-15.8]"
"Pakistan","2005","23128 [19669-26587]","12289 [10451-14127]","10839 [9218-12460]","14.4 [12.3-16.6]","14.9 [12.6-17.1]","14.0 [11.9-16.1]"
"Pakistan","2004","22541 [18845-26236]","11864 [9918-13808]","10677 [8927-12428]","14.4 [12.0-16.7]","14.7 [12.3-17.1]","14.1 [11.8-16.4]"
"Pakistan","2003","21436 [17767-25106]","11266 [9338-13195]","10170 [8429-11911]","14.0 [11.6-16.4]","14.3 [11.8-16.7]","13.7 [11.4-16.1]"
"Pakistan","2002","21066 [17252-24880]","11077 [9072-13083]","9989 [8180-11797]","14.1 [11.5-16.6]","14.4 [11.8-17.0]","13.8 [11.3-16.3]"
"Pakistan","2001","20490 [16850-24130]","10800 [8881-12718]","9690 [7969-11412]","14.0 [11.5-16.5]","14.3 [11.8-16.9]","13.7 [11.3-16.2]"
"Pakistan","2000","19857 [16287-23428]","10512 [8622-12402]","9345 [7665-11026]","14.0 [11.4-16.5]","14.3 [11.7-16.9]","13.6 [11.1-16.0]"
"Panama","2019","591 [409-823]","484 [338-670]","107 [71-153]","13.9 [9.6-19.4]","22.8 [15.9-31.5]","5.0 [3.4-7.2]"
"Panama","2018","580 [421-776]","477 [349-633]","104 [72-144]","13.9 [10.1-18.6]","22.8 [16.7-30.2]","5.0 [3.4-6.9]"
"Panama","2017","551 [423-703]","455 [353-574]","96 [70-129]","13.4 [10.3-17.1]","22.1 [17.1-27.9]","4.7 [3.4-6.3]"
"Panama","2016","575 [471-695]","475 [394-566]","100 [76-129]","14.2 [11.7-17.2]","23.5 [19.5-28.0]","5.0 [3.8-6.4]"
"Panama","2015","565 [468-678]","458 [385-542]","107 [82-136]","14.2 [11.8-17.1]","23.0 [19.4-27.2]","5.4 [4.2-6.9]"
"Panama","2014","554 [464-657]","448 [381-524]","106 [83-134]","14.2 [11.9-16.9]","22.9 [19.5-26.8]","5.5 [4.3-6.9]"
"Panama","2013","494 [415-584]","403 [344-469]","91 [72-114]","12.9 [10.8-15.2]","20.9 [17.8-24.4]","4.8 [3.7-6.0]"
"Panama","2012","532 [446-627]","443 [376-516]","89 [70-111]","14.1 [11.8-16.6]","23.4 [19.9-27.2]","4.7 [3.7-5.9]"
"Panama","2011","519 [437-610]","439 [374-508]","80 [63-102]","14.0 [11.8-16.5]","23.6 [20.1-27.3]","4.4 [3.4-5.5]"
"Panama","2010","481 [404-566]","392 [334-454]","89 [70-112]","13.2 [11.1-15.5]","21.4 [18.3-24.8]","4.9 [3.8-6.2]"
"Panama","2009","485 [407-569]","416 [352-482]","69 [55-87]","13.6 [11.4-15.9]","23.1 [19.6-26.8]","3.9 [3.1-4.9]"
"Panama","2008","541 [456-635]","440 [376-509]","101 [80-126]","15.4 [13.0-18.1]","24.9 [21.3-28.8]","5.8 [4.6-7.2]"
"Panama","2007","506 [430-591]","424 [365-488]","82 [66-102]","14.7 [12.5-17.1]","24.4 [21.0-28.1]","4.8 [3.8-6.0]"
"Panama","2006","544 [460-639]","424 [365-489]","120 [95-150]","16.0 [13.6-18.8]","24.8 [21.4-28.6]","7.1 [5.6-8.9]"
"Panama","2005","459 [387-541]","368 [316-426]","91 [71-115]","13.8 [11.6-16.2]","21.9 [18.8-25.4]","5.5 [4.3-7.0]"
"Panama","2004","454 [386-531]","381 [329-440]","73 [57-91]","13.9 [11.8-16.3]","23.2 [20.0-26.8]","4.5 [3.5-5.6]"
"Panama","2003","495 [421-578]","395 [342-454]","100 [79-124]","15.4 [13.1-18.0]","24.5 [21.2-28.1]","6.3 [4.9-7.8]"
"Panama","2002","495 [417-583]","395 [338-458]","100 [79-125]","15.7 [13.3-18.5]","24.9 [21.3-28.9]","6.4 [5.1-8.0]"
"Panama","2001","477 [404-558]","387 [333-446]","90 [71-112]","15.4 [13.1-18.1]","24.9 [21.4-28.7]","5.9 [4.7-7.3]"
"Panama","2000","468 [397-547]","393 [337-454]","75 [60-92]","15.4 [13.1-18.0]","25.7 [22.1-29.8]","5.0 [4.0-6.1]"
"Papua New Guinea","2019","1105 [946-1256]","830 [710-943]","276 [236-313]","12.6 [10.8-14.3]","18.5 [15.9-21.0]","6.4 [5.5-7.3]"
"Papua New Guinea","2018","1163 [999-1320]","880 [756-999]","283 [243-321]","13.5 [11.6-15.3]","20.0 [17.2-22.7]","6.7 [5.8-7.6]"
"Papua New Guinea","2017","1173 [1011-1330]","887 [764-1005]","286 [246-324]","13.9 [12.0-15.8]","20.6 [17.8-23.4]","6.9 [6.0-7.8]"
"Papua New Guinea","2016","1150 [994-1303]","870 [752-985]","280 [242-317]","13.9 [12.0-15.7]","20.6 [17.8-23.3]","6.9 [6.0-7.8]"
"Papua New Guinea","2015","1142 [992-1292]","857 [745-970]","285 [248-322]","14.1 [12.2-15.9]","20.7 [18.0-23.5]","7.2 [6.2-8.1]"
"Papua New Guinea","2014","1140 [991-1288]","854 [743-965]","286 [248-323]","14.3 [12.5-16.2]","21.1 [18.3-23.8]","7.3 [6.4-8.3]"
"Papua New Guinea","2013","1269 [1110-1429]","955 [835-1075]","314 [275-353]","16.3 [14.2-18.3]","24.1 [21.0-27.1]","8.2 [7.2-9.3]"
"Papua New Guinea","2012","1236 [1082-1391]","930 [814-1046]","306 [268-345]","16.2 [14.2-18.2]","23.9 [20.9-26.9]","8.2 [7.2-9.2]"
"Papua New Guinea","2011","1258 [1101-1415]","951 [832-1069]","307 [269-346]","16.8 [14.7-18.9]","25.0 [21.9-28.1]","8.4 [7.3-9.4]"
"Papua New Guinea","2010","1249 [1093-1405]","944 [827-1063]","305 [267-343]","17.1 [15.0-19.2]","25.4 [22.2-28.6]","8.5 [7.4-9.5]"
"Papua New Guinea","2009","1255 [1098-1412]","951 [832-1070]","304 [266-342]","17.6 [15.4-19.8]","26.2 [22.9-29.4]","8.7 [7.6-9.7]"
"Papua New Guinea","2008","1217 [1063-1370]","923 [807-1040]","293 [256-330]","17.4 [15.2-19.6]","26.0 [22.7-29.3]","8.6 [7.5-9.6]"
"Papua New Guinea","2007","1194 [1042-1347]","906 [790-1022]","289 [252-326]","17.5 [15.3-19.8]","26.2 [22.8-29.5]","8.6 [7.5-9.7]"
"Papua New Guinea","2006","1196 [1040-1351]","913 [794-1031]","283 [246-320]","18.0 [15.6-20.3]","27.0 [23.5-30.5]","8.7 [7.5-9.8]"
"Papua New Guinea","2005","1172 [1020-1325]","895 [778-1011]","278 [241-314]","18.1 [15.7-20.4]","27.1 [23.6-30.6]","8.7 [7.6-9.8]"
"Papua New Guinea","2004","1122 [977-1266]","852 [742-961]","270 [235-305]","17.7 [15.4-19.9]","26.4 [23.0-29.7]","8.6 [7.5-9.8]"
"Papua New Guinea","2003","1096 [957-1234]","832 [726-936]","265 [231-298]","17.6 [15.4-19.8]","26.3 [22.9-29.6]","8.6 [7.6-9.7]"
"Papua New Guinea","2002","1096 [958-1233]","837 [732-942]","258 [226-291]","18.0 [15.7-20.2]","27.0 [23.6-30.4]","8.6 [7.5-9.7]"
"Papua New Guinea","2001","1043 [913-1173]","791 [693-889]","252 [221-284]","17.5 [15.3-19.6]","26.0 [22.8-29.3]","8.6 [7.5-9.7]"
"Papua New Guinea","2000","1018 [893-1145]","779 [683-876]","239 [209-269]","17.4 [15.3-19.6]","26.2 [23.0-29.5]","8.3 [7.3-9.3]"
"Paraguay","2019","1552 [974-2205]","1303 [815-1836]","249 [159-370]","22.0 [13.8-31.3]","36.4 [22.8-51.3]","7.2 [4.6-10.7]"
"Paraguay","2018","1535 [979-2128]","1290 [819-1773]","245 [161-354]","22.1 [14.1-30.6]","36.5 [23.1-50.1]","7.2 [4.7-10.4]"
"Paraguay","2017","1524 [992-2032]","1285 [829-1695]","239 [163-337]","22.2 [14.4-29.6]","36.8 [23.7-48.5]","7.1 [4.8-10.0]"
"Paraguay","2016","1529 [1009-1971]","1278 [828-1632]","251 [181-340]","22.6 [14.9-29.1]","37.0 [24.0-47.3]","7.6 [5.4-10.2]"
"Paraguay","2015","1472 [974-1859]","1246 [806-1559]","226 [168-300]","22.0 [14.6-27.8]","36.6 [23.7-45.8]","6.9 [5.1-9.1]"
"Paraguay","2014","1438 [960-1815]","1204 [790-1489]","234 [170-326]","21.8 [14.5-27.5]","35.8 [23.5-44.3]","7.2 [5.2-10.1]"
"Paraguay","2013","1512 [1019-1890]","1263 [830-1565]","249 [189-325]","23.2 [15.7-29.0]","38.1 [25.1-47.2]","7.8 [5.9-10.2]"
"Paraguay","2012","1470 [991-1824]","1236 [812-1522]","234 [179-302]","22.9 [15.4-28.4]","37.8 [24.9-46.6]","7.4 [5.7-9.6]"
"Paraguay","2011","1540 [1043-1908]","1251 [820-1540]","289 [223-367]","24.3 [16.5-30.1]","38.8 [25.5-47.8]","9.3 [7.2-11.8]"
"Paraguay","2010","1557 [1053-1925]","1248 [815-1533]","309 [238-392]","24.9 [16.9-30.8]","39.3 [25.6-48.2]","10.1 [7.8-12.8]"
"Paraguay","2009","1453 [978-1798]","1219 [795-1504]","234 [183-294]","23.6 [15.9-29.2]","38.9 [25.4-48.0]","7.7 [6.0-9.7]"
"Paraguay","2008","1376 [947-1693]","1146 [771-1399]","230 [176-294]","22.6 [15.6-27.8]","37.1 [25.0-45.3]","7.7 [5.9-9.8]"
"Paraguay","2007","1033 [735-1278]","837 [583-1029]","196 [151-249]","17.2 [12.2-21.3]","27.5 [19.1-33.8]","6.6 [5.1-8.4]"
"Paraguay","2006","996 [729-1224]","791 [570-964]","205 [159-260]","16.8 [12.3-20.7]","26.3 [19.0-32.1]","7.1 [5.5-8.9]"
"Paraguay","2005","842 [635-1044]","684 [514-842]","158 [121-202]","14.5 [10.9-17.9]","23.1 [17.4-28.5]","5.5 [4.2-7.1]"
"Paraguay","2004","692 [535-859]","551 [427-677]","141 [108-181]","12.1 [9.3-15.0]","18.9 [14.7-23.3]","5.0 [3.8-6.4]"
"Paraguay","2003","659 [510-837]","533 [416-671]","126 [94-165]","11.7 [9.1-14.9]","18.6 [14.5-23.5]","4.5 [3.4-6.0]"
"Paraguay","2002","490 [381-622]","399 [313-505]","91 [69-117]","8.9 [6.9-11.3]","14.2 [11.1-18.0]","3.3 [2.5-4.3]"
"Paraguay","2001","647 [497-832]","461 [358-586]","186 [139-246]","11.9 [9.2-15.3]","16.7 [13.0-21.3]","7.0 [5.2-9.2]"
"Paraguay","2000","502 [389-636]","372 [292-466]","130 [97-170]","9.4 [7.3-11.9]","13.8 [10.8-17.2]","5.0 [3.7-6.5]"
"Peru","2019","4414 [3966-4839]","3255 [2925-3569]","1159 [1041-1271]","13.6 [12.2-14.9]","20.2 [18.1-22.1]","7.1 [6.4-7.8]"
"Peru","2018","4384 [3954-4796]","3216 [2901-3519]","1168 [1053-1277]","13.7 [12.4-15.0]","20.2 [18.3-22.1]","7.3 [6.5-7.9]"
"Peru","2017","4349 [3937-4748]","3171 [2871-3462]","1178 [1067-1286]","13.8 [12.5-15.1]","20.3 [18.4-22.2]","7.4 [6.7-8.1]"
"Peru","2016","4286 [3894-4669]","3106 [2822-3383]","1180 [1072-1286]","13.9 [12.6-15.1]","20.2 [18.4-22.0]","7.6 [6.9-8.3]"
"Peru","2015","4221 [3851-4590]","3052 [2785-3319]","1169 [1066-1271]","13.9 [12.6-15.1]","20.2 [18.4-21.9]","7.6 [7.0-8.3]"
"Peru","2014","4078 [3731-4425]","2956 [2705-3208]","1122 [1026-1217]","13.6 [12.4-14.7]","19.8 [18.1-21.5]","7.4 [6.8-8.0]"
"Peru","2013","4167 [3822-4512]","3031 [2780-3282]","1136 [1042-1230]","14.0 [12.8-15.2]","20.5 [18.8-22.2]","7.6 [7.0-8.2]"
"Peru","2012","4300 [3947-4653]","3130 [2873-3387]","1170 [1074-1266]","14.6 [13.4-15.8]","21.3 [19.6-23.1]","7.9 [7.2-8.5]"
"Peru","2011","4732 [4414-5049]","3429 [3199-3659]","1303 [1215-1390]","16.2 [15.1-17.3]","23.5 [21.9-25.1]","8.9 [8.3-9.5]"
"Peru","2010","3827 [3570-4084]","2759 [2574-2945]","1068 [996-1139]","13.2 [12.3-14.1]","19.1 [17.8-20.3]","7.3 [6.8-7.8]"
"Peru","2009","4346 [4047-4644]","3116 [2902-3330]","1230 [1145-1314]","15.1 [14.1-16.1]","21.7 [20.2-23.2]","8.5 [7.9-9.1]"
"Peru","2008","4675 [4338-5013]","3357 [3115-3599]","1318 [1223-1414]","16.4 [15.2-17.6]","23.6 [21.9-25.3]","9.2 [8.5-9.9]"
"Peru","2007","4703 [4354-5053]","3373 [3123-3625]","1330 [1231-1428]","16.6 [15.4-17.8]","23.9 [22.1-25.7]","9.4 [8.7-10.1]"
"Peru","2006","4665 [4291-5038]","3304 [3039-3568]","1361 [1252-1470]","16.6 [15.3-17.9]","23.6 [21.7-25.5]","9.7 [8.9-10.4]"
"Peru","2005","4425 [4058-4792]","3124 [2865-3383]","1301 [1193-1409]","15.9 [14.6-17.2]","22.5 [20.6-24.4]","9.3 [8.5-10.1]"
"Peru","2004","4242 [3877-4608]","3015 [2755-3275]","1227 [1122-1333]","15.4 [14.0-16.7]","21.9 [20.0-23.8]","8.9 [8.1-9.6]"
"Peru","2003","3827 [3495-4159]","2696 [2462-2930]","1131 [1033-1229]","14.0 [12.8-15.2]","19.8 [18.0-21.5]","8.2 [7.5-9.0]"
"Peru","2002","3925 [3584-4266]","2792 [2549-3034]","1133 [1035-1232]","14.5 [13.2-15.7]","20.7 [18.9-22.5]","8.3 [7.6-9.1]"
